ESTABLECIMIENTO,CALLE No.,COLONIA,"CÓDIGO
POSTAL",LOCALIDAD,ENTIDAD,No. LICENCIA,"FECHA
EXPEDICIÓN",LÍNEAS AUTORIZADAS,"ESTATUS DE
LA LICENCIA",ESTATUS DEL ESTABLECIMIENTO,OBSERVACIONES,LINEAS CERTIFICADAS,"NO. DE OFICIO DE
CERTIFICACION",FECHA DE EMISION,"FECHA DE
VENCIMIENTO","ESTATUS DE LA
CERTIFICACIÓN"
"Abba Import Export, S.A. de C.V.","Camino a la Magdalena  No.
777",San Andrés Totoltepec,14400,Tlalpan,D.F.,09014040002,09-ago.-06,SÓLIDOS ORALES: Cápsulas de gelatina dura.,Vigente,Vigente,Ninguna,N/A,N/A,N/A,N/A,N/A
"Abbott Laboratories de México, S.A. de C.V.",Calz. De Tlalpan No. 3092,Ex hacienda Coapa,04980,Coyoacan,D.F.,09004020035,09-jun.-09,"SÓLIDOS ORALES: Tabletas, Tabletas de liberación prolongada, Tabletas recubiertas, Comprimidos, Cápsulas de gelatina dura, Granulado, Polvo para reconstituir, Grageas, Grageas de liberación prolongada;  LÍQUIDOS ORALES: Solución, Suspensión, Jarabe, Emulsión; LÍQUIDOS NO ORALES: Solución.",Vigente,Vigente,Ninguna,"Sólidos orales, Líquidos orales y Líquidos No orales.",223300516A1274,03-nov.-22,07-jul.-23,Vigente
"Aerobal, S.A. de C.V.",Av. San Rafael No. 12,Parque Industrial Lerma,52000,Lerma,Edo. de México,15051020003,24-sep.-02,AEROSOLES: Polvo en aerosol.,Revocada,Suspensión definitiva desde el 03 de diciembre del 2018,Con fundamento en el  Artículo 380 Fracción XI de la Ley General de Salud,Aerosoles.,173300EL531994,14-dic.-17,11-jun.-20,Vencido
"AF Operadora de Negocios, S.A. de C.V.",Álvaro Obregón No. 250,Agua Blanca,45235,Zapopan,Jalisco,14120020022,21-sep.-22,"SÓLIDOS: Tabletas o Comprimidos, Tabletas recubiertas, Cápsulas de gelatina dura,  Polvo; Herbolarios: Tabletas o comprimidos; Tabletas recubiertas, cápsulas de gelatina dura, Polvo. LÍQUIDOS: Solución, Suspensión, Jarabe, Linimento; Herbolarios: Solución, Suspensión, Jarabe, Linimento; SEMISÓLIDOS: Crema, Gel, Ungüento, Pasta; Herbolarios: Crema, Gel, Ungüento, Pasta.",Vigente,Vigente,Ninguna,"Solidos herbolarios, Líquidos herbolarios, Semisólidos herbolarios.",213300516A0287,18-mar.-21,09-sep.-21,Vencido
"Air Liquide México, S. de R.L. de C.V.","Prolongación Juárez S/No.
Interior Planta Altos Hornos, ASU 6.",La loma,25720,Monclova,Coahuila,05018020001,14-dic.-15,GASES MEDICINALES: Oxígeno.,Vigente,Vigente,Ninguna,Gases Medicinales.,CAS/SELS/11636/2019,14-oct.-19,19-ene.-21,Vencido
"Air Liquide México, S. de R.L. de C.V.","Carretera Pesquería a Santa
María la Floreña Km. 15,
Interior Planta Ternium",Rancho la Joya,66650,Pesquería,Nuevo León,19041020001,22-ago.-16,Gases Medicinales - Oxígeno.,Vigente,Vigente,Ninguna,Gases Medicinales - Oxígeno.,173300ER020115,31-jul.-17,23-ago.-19,Vencido
"Allen Laboratorios, S.A. de C.V.",Av. Instituto Politécnico Nacional No. 4728,Tlacamaca,07380,Gustavo A. Madero,Ciudad de México,09007020003,21-sep.-16,"SÓLIDOS: Tabletas, Tabletas recubiertas, Comprimidos, Cápsulas de gelatina dura, Granulado, Grageas;  LÍQUIDOS: Solución, Suspensión, Elixir, Jarabe.",Vigente,Vigente,Ninguna,"Sólidos, Líquidos.","213300129X0392,
223300IT040540",23-nov.-22,23-may.-25,Vigente
"Allergan, S.A. de C.V.",Carlos J. Meneses No. 206,Buenavista,06350,Cuauhtemoc,D.F.,09006020001,17-oct.-01,ESTÉRILES: Solución oftálmica.,Revocada,Suspensión definitiva el 17 de octubre de 2018,Con fundamento en el  Artículo 380 Fracción XI de la Ley General de Salud,N/A,N/A,N/A,N/A,N/A
"Alvartis Pharma, S.A. de C.V.",Carr. Jaltepec-Cd. Sahagun No. 1,San Miguel Jaltepec,55965,Axapusco,México,15016020001,01-ago.-19,"SÓLIDOS: Tabletas o Comprimidos, Tabletas recubiertas, Cápsulas de gelatina dura, Polvo; LÍQUIDOS: Solución, Suspensión, Jarabe; SEMISÓLIDOS: Crema, Ungüento, Gel, Pomada, Pasta; ESTÉRILES: Solución inyectable en ampolleta, Solución inyectable en frasco ámpula, Solución oftálmica, Emulsión inyectable en frasco ámpula, Emulsión inyectble en ampolleta, Suspensión inyectable en frasco ámpula, Suspensión inyectable en ampolleta.",Vigente,Vigente,Ninguna,"Sólidos orales, Líquidos orales, Semisólidos, Estériles.","223300EL530840,
223300EL530969",27-sep.-22,27-mar.-25,Vigente
"Anchor Farma, S.A. de C.V.",Calle 28 No. 2625,Zona Industrial,44940,Guadalajara,Jalisco,14039020002,06-dic.-02,SÓLIDOS ORALES: Tabletas.,Vigente,Vigente,Ninguna,N/A,N/A,N/A,N/A,N/A
